date,load,year,month,hour,day,lowtmep,hightemp,,
2016/11/27 8:00,0.223996,0,0.909090909,0.347826087,1,0.325581395,0.219512195,,
2016/11/27 9:00,0.222436,0,0.909090909,0.391304348,1,0.325581395,0.219512195,,
2016/11/27 10:00,0.230067,0,0.909090909,0.434782609,1,0.325581395,0.219512195,,
2016/11/27 11:00,0.227311,0,0.909090909,0.47826087,1,0.325581395,0.219512195,,
2016/11/27 12:00,0.216402,0,0.909090909,0.52173913,1,0.325581395,0.219512195,,
2016/11/27 13:00,0.215858,0,0.909090909,0.565217391,1,0.325581395,0.219512195,,
2016/11/27 14:00,0.226797,0,0.909090909,0.608695652,1,0.325581395,0.219512195,,
2016/11/27 15:00,0.226789,0,0.909090909,0.652173913,1,0.325581395,0.219512195,,
2016/11/27 16:00,0.228139,0,0.909090909,0.695652174,1,0.325581395,0.219512195,,
2016/11/27 17:00,0.237015,0,0.909090909,0.739130435,1,0.325581395,0.219512195,,
2016/11/27 18:00,0.241179,0,0.909090909,0.782608696,1,0.325581395,0.219512195,,
2016/11/27 19:00,0.229801,0,0.909090909,0.826086957,1,0.325581395,0.219512195,,
2016/11/27 20:00,0.216248,0,0.909090909,0.869565217,1,0.325581395,0.219512195,,
2016/11/27 21:00,0.195852,0,0.909090909,0.913043478,1,0.325581395,0.219512195,,
2016/11/27 22:00,0.176588,0,0.909090909,0.956521739,1,0.325581395,0.219512195,,
2016/11/27 23:00,0.175648,0,0.909090909,1,1,0.325581395,0.219512195,,
2016/11/28 0:00,0.196327,0,0.909090909,0,0,0.302325581,0.219512195,,
2016/11/28 1:00,0.186245,0,0.909090909,0.043478261,0,0.302325581,0.219512195,,
2016/11/28 2:00,0.191979,0,0.909090909,0.086956522,0,0.302325581,0.219512195,,
2016/11/28 3:00,0.18423,0,0.909090909,0.130434783,0,0.302325581,0.219512195,,
2016/11/28 4:00,0.18552,0,0.909090909,0.173913043,0,0.302325581,0.219512195,,
2016/11/28 5:00,0.199937,0,0.909090909,0.217391304,0,0.302325581,0.219512195,,
2016/11/28 6:00,0.217924,0,0.909090909,0.260869565,0,0.302325581,0.219512195,,
2016/11/28 7:00,0.215562,0,0.909090909,0.304347826,0,0.302325581,0.219512195,,
2016/11/28 8:00,0.235431,0,0.909090909,0.347826087,0,0.302325581,0.219512195,,
2016/11/28 9:00,0.238332,0,0.909090909,0.391304348,0,0.302325581,0.219512195,,
2016/11/28 10:00,0.239182,0,0.909090909,0.434782609,0,0.302325581,0.219512195,,
2016/11/28 11:00,0.24872,0,0.909090909,0.47826087,0,0.302325581,0.219512195,,
2016/11/28 12:00,0.232796,0,0.909090909,0.52173913,0,0.302325581,0.219512195,,
2016/11/28 13:00,0.226666,0,0.909090909,0.565217391,0,0.302325581,0.219512195,,
2016/11/28 14:00,0.240386,0,0.909090909,0.608695652,0,0.302325581,0.219512195,,
2016/11/28 15:00,0.24536,0,0.909090909,0.652173913,0,0.302325581,0.219512195,,
2016/11/28 16:00,0.247777,0,0.909090909,0.695652174,0,0.302325581,0.219512195,,
2016/11/28 17:00,0.271676,0,0.909090909,0.739130435,0,0.302325581,0.219512195,,
2016/11/28 18:00,0.264558,0,0.909090909,0.782608696,0,0.302325581,0.219512195,,
2016/11/28 19:00,0.238941,0,0.909090909,0.826086957,0,0.302325581,0.219512195,,
2016/11/28 20:00,0.223343,0,0.909090909,0.869565217,0,0.302325581,0.219512195,,
2016/11/28 21:00,0.212824,0,0.909090909,0.913043478,0,0.302325581,0.219512195,,
2016/11/28 22:00,0.194925,0,0.909090909,0.956521739,0,0.302325581,0.219512195,,
2016/11/28 23:00,0.18892,0,0.909090909,1,0,0.302325581,0.219512195,,
2016/11/29 0:00,0.216199,0,0.909090909,0,0.166666667,0.325581395,0.317073171,,
2016/11/29 1:00,0.201131,0,0.909090909,0.043478261,0.166666667,0.325581395,0.317073171,,
2016/11/29 2:00,0.197509,0,0.909090909,0.086956522,0.166666667,0.325581395,0.317073171,,
