k0,,k1,,k2,,k3,,k4,,k5,,k6,,k7,,k8,,k9
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
,,,,,,0.220316,,,,,,,,,,,,
