time,step,trainLoss
2022-05-11 11:31:55.406208,Step[0],0.203368
2022-05-11 11:31:55.807141,Step[1],0.130482
2022-05-11 11:31:56.101989,Step[2],0.096836
2022-05-11 11:31:56.542814,Step[3],0.030925
2022-05-11 11:31:56.818081,Step[4],0.025204
2022-05-11 11:31:57.194079,Step[5],0.021003
2022-05-11 11:31:57.579054,Step[6],0.017596
2022-05-11 11:31:57.886234,Step[7],0.134820
2022-05-11 11:31:58.269214,Step[8],0.039941
2022-05-11 11:31:58.568418,Step[9],0.025739
2022-05-11 11:31:58.997280,Step[10],0.023529
2022-05-11 11:31:59.261570,Step[11],0.017419
2022-05-11 11:31:59.668487,Step[12],0.012756
2022-05-11 11:32:00.103329,Step[13],0.017365
2022-05-11 11:32:00.362638,Step[14],0.020300
2022-05-11 11:32:00.735643,Step[15],0.018466
2022-05-11 11:32:01.154527,Step[16],0.019077
2022-05-11 11:32:01.444755,Step[17],0.023830
2022-05-11 11:32:01.813772,Step[18],0.018247
2022-05-11 11:32:02.232655,Step[19],0.022638
2022-05-11 11:32:02.727338,Step[0],0.252906
2022-05-11 11:32:03.093363,Step[1],0.270723
2022-05-11 11:32:03.531196,Step[2],0.276936
2022-05-11 11:32:03.805466,Step[3],0.253012
2022-05-11 11:32:04.186451,Step[4],0.271768
2022-05-11 11:32:04.582396,Step[5],0.269385
2022-05-11 11:32:04.891574,Step[6],0.255704
2022-05-11 11:32:05.233662,Step[7],0.266924
2022-05-11 11:32:05.526878,Step[8],0.254632
2022-05-11 11:32:05.880936,Step[9],0.261963
2022-05-11 11:32:06.170166,Step[10],0.228171
2022-05-11 11:32:06.545166,Step[11],0.278517
2022-05-11 11:32:06.927149,Step[12],0.232293
2022-05-11 11:32:07.235328,Step[13],0.272595
2022-05-11 11:32:07.602351,Step[14],0.238778
2022-05-11 11:32:07.897563,Step[15],0.230584
2022-05-11 11:32:08.333403,Step[16],0.235035
2022-05-11 11:32:08.614653,Step[17],0.228125
2022-05-11 11:32:08.999628,Step[18],0.229531
2022-05-11 11:32:09.431477,Step[19],0.231757
2022-05-11 11:32:09.976028,Step[0],0.171347
2022-05-11 11:32:10.272238,Step[1],0.035715
2022-05-11 11:32:10.714060,Step[2],0.021304
2022-05-11 11:32:10.983345,Step[3],0.027940
2022-05-11 11:32:11.374302,Step[4],0.015414
2022-05-11 11:32:11.812137,Step[5],0.016663
2022-05-11 11:32:12.092413,Step[6],0.015181
2022-05-11 11:32:12.472401,Step[7],0.037464
2022-05-11 11:32:12.858348,Step[8],0.015305
2022-05-11 11:32:13.169519,Step[9],0.021576
2022-05-11 11:32:13.512605,Step[10],0.015523
2022-05-11 11:32:13.784880,Step[11],0.016435
2022-05-11 11:32:14.218724,Step[12],0.021359
2022-05-11 11:32:14.474044,Step[13],0.021416
2022-05-11 11:32:14.861013,Step[14],0.019305
2022-05-11 11:32:15.253966,Step[15],0.030337
2022-05-11 11:32:15.531229,Step[16],0.013755
2022-05-11 11:32:15.927173,Step[17],0.025771
2022-05-11 11:32:16.240340,Step[18],0.014511
2022-05-11 11:32:16.624315,Step[19],0.013460
2022-05-11 11:32:17.534890,Step[0],0.184371
2022-05-11 11:32:17.859026,Step[1],0.178721
2022-05-11 11:32:18.200117,Step[2],0.177458
2022-05-11 11:32:18.473388,Step[3],0.195037
2022-05-11 11:32:18.888284,Step[4],0.158461
2022-05-11 11:32:19.161582,Step[5],0.200576
2022-05-11 11:32:19.536557,Step[6],0.164366
2022-05-11 11:32:19.981373,Step[7],0.156881
2022-05-11 11:32:20.259630,Step[8],0.168686
2022-05-11 11:32:20.641612,Step[9],0.165761
2022-05-11 11:32:21.056507,Step[10],0.157536
2022-05-11 11:32:21.358710,Step[11],0.177587
2022-05-11 11:32:21.712759,Step[12],0.180628
2022-05-11 11:32:22.029914,Step[13],0.167020
2022-05-11 11:32:22.469742,Step[14],0.165782
2022-05-11 11:32:22.949464,Step[15],0.073201
2022-05-11 11:32:23.220742,Step[16],0.156327
2022-05-11 11:32:23.631670,Step[17],0.051165
2022-05-11 11:32:23.917885,Step[18],0.063218
2022-05-11 11:32:24.310845,Step[19],0.072476
2022-05-11 11:32:24.981053,Step[0],0.195389
2022-05-11 11:32:25.375999,Step[1],0.175471
2022-05-11 11:32:25.738037,Step[2],0.175344
2022-05-11 11:32:26.061174,Step[3],0.117149
2022-05-11 11:32:26.409247,Step[4],0.175796
2022-05-11 11:32:26.772280,Step[5],0.247135
2022-05-11 11:32:27.162242,Step[6],0.192898
2022-05-11 11:32:27.435513,Step[7],0.066839
2022-05-11 11:32:27.818493,Step[8],0.037765
2022-05-11 11:32:28.268295,Step[9],0.031380
2022-05-11 11:32:28.535583,Step[10],0.028016
2022-05-11 11:32:28.899612,Step[11],0.038461
2022-05-11 11:32:29.296555,Step[12],0.026409
2022-05-11 11:32:29.598750,Step[13],0.021123
2022-05-11 11:32:29.930866,Step[14],0.022583
2022-05-11 11:32:30.288917,Step[15],0.038156
2022-05-11 11:32:30.726747,Step[16],0.017987
2022-05-11 11:32:31.001014,Step[17],0.030213
2022-05-11 11:32:31.373025,Step[18],0.033198
2022-05-11 11:32:31.766974,Step[19],0.036215
2022-05-11 11:32:32.415246,Step[0],0.089892
2022-05-11 11:32:32.812192,Step[1],0.089719
2022-05-11 11:32:33.119372,Step[2],0.089547
